指標類別,關鍵字,提取值,數據類型,信心分數,來源頁面,來源文本
指標3_資源循環效益比較,recycled vs virgin environmental impact,提取失敗,error,0.00,"第29頁, 第72頁, 第160頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,產品壽命,提取失敗,error,0.00,"第63頁, 第169頁, 第164頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,延長使用年限,提取失敗,error,0.00,"第8頁, 第144頁, 第36頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,可維修設計,提取失敗,error,0.00,"第164頁, 第85頁, 第63頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,模組化設計,提取失敗,error,0.00,"第56頁, 第13頁, 第46頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,耐用性提升,提取失敗,error,0.00,"第55頁, 第144頁, 第84頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,維修服務年限,提取失敗,error,0.00,"第132頁, 第144頁, 第141頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,延長保固,提取失敗,error,0.00,"第136頁, 第172頁, 第3頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,product lifespan,提取失敗,error,0.00,"第164頁, 第93頁, 第87頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,durability,提取失敗,error,0.00,"第122頁, 第87頁, 第62頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,modular design,提取失敗,error,0.00,"第13頁, 第59頁, 第87頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,repairability,提取失敗,error,0.00,"第141頁, 第145頁, 第25頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,upgradeable,提取失敗,error,0.00,"第27頁, 第85頁, 第144頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標4_產品延長壽命,extension service life,提取失敗,error,0.00,"第46頁, 第1頁, 第31頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,每公斤成本,提取失敗,error,0.00,"第66頁, 第95頁, 第167頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,每單位碳排放,提取失敗,error,0.00,"第92頁, 第162頁, 第66頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,每單位效益,提取失敗,error,0.00,"第164頁, 第167頁, 第44頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,再生塑膠性價比,提取失敗,error,0.00,"第144頁, 第169頁, 第86頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,循環效益與成本比,提取失敗,error,0.00,"第86頁, 第77頁, 第66頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,unit economic benefit,提取失敗,error,0.00,"第44頁, 第33頁, 第27頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,cost per kg,提取失敗,error,0.00,"第167頁, 第77頁, 第125頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,CO2 per unit,提取失敗,error,0.00,"第66頁, 第162頁, 第171頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,ROI of recycling,提取失敗,error,0.00,"第101頁, 第29頁, 第163頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,lifecycle cost benefit,提取失敗,error,0.00,"第55頁, 第77頁, 第61頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,economic efficiency of recycling,提取失敗,error,0.00,"第86頁, 第109頁, 第167頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,lifecycle unit cost,提取失敗,error,0.00,"第55頁, 第66頁, 第77頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,unit GHG,提取失敗,error,0.00,"第162頁, 第161頁, 第118頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標5_單位經濟效益,recycled vs virgin unit value,提取失敗,error,0.00,"第163頁, 第168頁, 第86頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,循環次數,提取失敗,error,0.00,"第70頁, 第163頁, 第8頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,再利用次數,提取失敗,error,0.00,"第8頁, 第75頁, 第107頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,再生次數,提取失敗,error,0.00,"第127頁, 第169頁, 第8頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,可再製次數,提取失敗,error,0.00,"第107頁, 第8頁, 第167頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,再加工循環,提取失敗,error,0.00,"第86頁, 第101頁, 第107頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,材料耐久,提取失敗,error,0.00,"第144頁, 第55頁, 第169頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,回收次數,提取失敗,error,0.00,"第107頁, 第169頁, 第108頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,recycling cycles,提取失敗,error,0.00,"第55頁, 第8頁, 第163頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,number of reuse times,提取失敗,error,0.00,"第120頁, 第169頁, 第163頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,remanufacturing times,提取失敗,error,0.00,"第36頁, 第2頁, 第23頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,recycled loops,提取失敗,error,0.00,"第75頁, 第107頁, 第168頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,recycled material durability,提取失敗,error,0.00,"第109頁, 第107頁, 第55頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,durability of recycled material,提取失敗,error,0.00,"第107頁, 第109頁, 第55頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
指標6_循環再製次數,material degradation,提取失敗,error,0.00,"第107頁, 第144頁, 第87頁","429 You exceeded your current quota, please check your plan and billing details. For more informatio..."
