指標類別,關鍵字,提取值,數據類型,信心分數,來源頁面,來源文本
指標2_碳排放數據比較,CO2 savings over years,每年減少排碳 53.6 噸 CO2e,number,0.90,"第66頁, 第10頁, 第83頁",
指標2_碳排放數據比較,annual GHG reduction,未提及,number,1.00,"第118頁, 第161頁, 第159頁",
指標2_碳排放數據比較,CO2e savings by PCR,未提及,number,1.00,"第56頁, 第162頁, 第90頁",
指標2_碳排放數據比較,carbon footprint of recycled materials,未提及,number,1.00,"第84頁, 第58頁, 第93頁",
指標2_碳排放數據比較,GHG reduction by recycled content,未提及,number,1.00,"第23頁, 第161頁, 第27頁",
指標3_資源循環效益比較,原生料與再生料比較,30%,percentage,0.70,"第84頁, 第167頁, 第107頁",
指標3_資源循環效益比較,資源節省,5%,percentage,0.80,"第95頁, 第98頁, 第70頁",
指標3_資源循環效益比較,資源使用效率,4.9%,percentage,0.70,"第68頁, 第68頁, 第75頁",
指標3_資源循環效益比較,再生材料節能與新料比較,30%,percentage,0.80,"第84頁, 第86頁, 第75頁",
指標3_資源循環效益比較,回收資源效率,30%,percentage,0.70,"第56頁, 第107頁, 第167頁",
指標3_資源循環效益比較,virgin vs recycled resource efficiency,未提及,percentage,1.00,"第61頁, 第168頁, 第86頁",
指標3_資源循環效益比較,material savings,未提及,percentage,1.00,"第107頁, 第109頁, 第163頁",
指標3_資源循環效益比較,resource efficiency,未提及,percentage,1.00,"第29頁, 第28頁, 第27頁",
指標3_資源循環效益比較,virgin vs recycled materials,未提及,percentage,1.00,"第56頁, 第55頁, 第86頁",
指標3_資源循環效益比較,environmental savings comparison,未提及,percentage,1.00,"第73頁, 第5頁, 第29頁",
指標3_資源循環效益比較,recycled vs virgin environmental impact,未提及,percentage,1.00,"第29頁, 第72頁, 第160頁",
指標4_產品延長壽命,產品壽命,未提及,boolean_or_number,1.00,"第63頁, 第169頁, 第164頁",
指標4_產品延長壽命,延長使用年限,未提及,boolean_or_number,1.00,"第8頁, 第144頁, 第36頁",
指標4_產品延長壽命,可維修設計,未提及,boolean_or_number,1.00,"第164頁, 第85頁, 第63頁",
指標4_產品延長壽命,模組化設計,未提及,boolean_or_number,1.00,"第56頁, 第13頁, 第46頁",
指標4_產品延長壽命,耐用性提升,未提及,boolean_or_number,1.00,"第55頁, 第144頁, 第84頁",
指標4_產品延長壽命,維修服務年限,未提及,boolean_or_number,1.00,"第132頁, 第144頁, 第141頁",
指標4_產品延長壽命,延長保固,未提及,boolean_or_number,1.00,"第136頁, 第172頁, 第3頁",
指標4_產品延長壽命,product lifespan,未提及,boolean_or_number,1.00,"第164頁, 第93頁, 第87頁",
指標4_產品延長壽命,durability,是,boolean_or_number,0.90,"第122頁, 第87頁, 第62頁",
指標4_產品延長壽命,modular design,未提及,boolean_or_number,1.00,"第13頁, 第59頁, 第87頁",
指標4_產品延長壽命,repairability,未提及,boolean_or_number,1.00,"第141頁, 第145頁, 第25頁",
指標4_產品延長壽命,upgradeable,未提及,boolean_or_number,1.00,"第27頁, 第85頁, 第144頁",
指標4_產品延長壽命,extension service life,未提及,boolean_or_number,1.00,"第46頁, 第1頁, 第31頁",
指標5_單位經濟效益,每公斤成本,未提及,number,1.00,"第66頁, 第95頁, 第167頁",
指標5_單位經濟效益,每單位碳排放,未提及,number,1.00,"第92頁, 第162頁, 第66頁",
指標5_單位經濟效益,每單位效益,未提及,number,1.00,"第164頁, 第167頁, 第44頁",
指標5_單位經濟效益,再生塑膠性價比,未提及,number,1.00,"第144頁, 第169頁, 第86頁",
指標5_單位經濟效益,循環效益與成本比,未提及,number,1.00,"第86頁, 第77頁, 第66頁",
指標5_單位經濟效益,unit economic benefit,未提及,number,1.00,"第44頁, 第33頁, 第27頁",
指標5_單位經濟效益,cost per kg,未提及,number,1.00,"第167頁, 第77頁, 第125頁",
指標5_單位經濟效益,CO2 per unit,未提及,number,1.00,"第66頁, 第162頁, 第171頁",
指標5_單位經濟效益,ROI of recycling,未提及,number,1.00,"第101頁, 第29頁, 第163頁",
指標5_單位經濟效益,lifecycle cost benefit,未提及,number,1.00,"第55頁, 第77頁, 第61頁",
指標5_單位經濟效益,economic efficiency of recycling,未提及,number,1.00,"第86頁, 第109頁, 第167頁",
指標5_單位經濟效益,lifecycle unit cost,未提及,number,1.00,"第55頁, 第66頁, 第77頁",
指標5_單位經濟效益,unit GHG,未提及,number,1.00,"第162頁, 第161頁, 第118頁",
指標5_單位經濟效益,recycled vs virgin unit value,未提及,number,1.00,"第163頁, 第168頁, 第86頁",
指標6_循環再製次數,循環次數,未提及,number,1.00,"第70頁, 第163頁, 第8頁",
指標6_循環再製次數,再利用次數,未提及,number,1.00,"第8頁, 第75頁, 第107頁",
指標6_循環再製次數,再生次數,未提及,number,1.00,"第127頁, 第169頁, 第8頁",
指標6_循環再製次數,可再製次數,未提及,number,1.00,"第107頁, 第8頁, 第167頁",
指標6_循環再製次數,再加工循環,100 噸/年,number,0.90,"第86頁, 第101頁, 第107頁",
指標6_循環再製次數,材料耐久,未提及,number,1.00,"第144頁, 第55頁, 第169頁",
指標6_循環再製次數,回收次數,263 次,number,1.00,"第107頁, 第169頁, 第108頁",
指標6_循環再製次數,recycling cycles,未提及,number,1.00,"第55頁, 第8頁, 第163頁",
指標6_循環再製次數,number of reuse times,未提及,number,1.00,"第120頁, 第169頁, 第163頁",
指標6_循環再製次數,remanufacturing times,未提及,number,1.00,"第36頁, 第2頁, 第23頁",
指標6_循環再製次數,recycled loops,未提及,number,1.00,"第75頁, 第107頁, 第168頁",
指標6_循環再製次數,recycled material durability,未提及,number,1.00,"第109頁, 第107頁, 第55頁",
指標6_循環再製次數,durability of recycled material,未提及,number,1.00,"第107頁, 第109頁, 第55頁",
指標6_循環再製次數,material degradation,未提及,number,1.00,"第107頁, 第144頁, 第87頁",
