指標類別,關鍵字,提取值,數據類型,信心分數,來源頁面,來源文本
指標3_資源循環效益比較,資源節省,5%,percentage,0.90,"第95頁, 第98頁, 第70頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
95
台塑公司近三年電力使用情況
單位：千兆焦耳 (GJ)
年度 2021 20..."
指標3_資源循環效益比較,資源使用效率,5%,percentage,0.90,"第68頁, 第68頁, 第75頁","用風電 2,250kW ( 5,625 千度 )
 ▼ 2023 年太陽能發電共 499 千度，已向台電申請改為自用，供廠區
行政生活區使用
以循環經濟
為方向，透
過 AI 節能
應用，推動
跨廠(..."
指標3_資源循環效益比較,回收資源效率,30%,percentage,0.90,"第56頁, 第107頁, 第167頁","台灣塑膠工業股份有限公司
2023 永續報告書
56
消費後回收塑膠 (PCR) 開
發與應用
鹽水電解結合二氧化碳再
利用系統技術開發
抗沾黏腹膜透析矽膠導管
1. 秉持永續承諾與循環經濟理念，積極..."
指標3_資源循環效益比較,再生材料節能與新料比較,30%,percentage,0.90,"第84頁, 第86頁, 第75頁","燃煤朝向低 ( 零 ) 碳能源轉型：推動鍋爐燃料由煤轉氣、汰除老舊燃煤鍋爐、採用低 ( 零 ) 碳來源之電力
請參閱 3.2.3 能源管理 - 台塑能源轉型規劃
客戶要求減碳 轉型風險/ 市場 重大風..."
指標3_資源循環效益比較,virgin vs recycled resource efficiency,未提及,percentage,1.00,"第61頁, 第168頁, 第86頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
61
環保管理- 應用 AI 調度公用廠蒸汽電力最佳化
舊有作業缺點
1. 以往..."
指標3_資源循環效益比較,material savings,未提及,percentage,1.00,"第107頁, 第109頁, 第163頁","化原物料，就會產生多餘廢棄物
自身廢棄物若增量或品質異常，導
致處理或再利用業者無法處理或再
利用，嚴重時可能需減 ( 停 ) 產，
以減少 ( 或停止 ) 廢棄物產出
製程操作異常時，將會出現品質異..."
指標3_資源循環效益比較,resource efficiency,未提及,percentage,1.00,"第29頁, 第28頁, 第27頁","上游 營運 下游
研發與改善 原物料採購 製造生產 產品銷售 售後服務與諮詢
▲ ●
價值鏈對照
( 註 2 )
GRI 主題準則對照
303 水資源管理
揭露章節
3.3 水資源管理
影響說明
本公..."
指標3_資源循環效益比較,virgin vs recycled materials,未提及具體百分比，但提及PCR RP3015製成的棧板在物性上與純料製成之棧板相當，廠商已逐步增加使用量,percentage,0.80,"第56頁, 第55頁, 第86頁","台灣塑膠工業股份有限公司
2023 永續報告書
56
消費後回收塑膠 (PCR) 開
發與應用
鹽水電解結合二氧化碳再
利用系統技術開發
抗沾黏腹膜透析矽膠導管
1. 秉持永續承諾與循環經濟理念，積極..."
指標3_資源循環效益比較,environmental savings comparison,未提及,percentage,1.00,"第73頁, 第5頁, 第29頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
73
利害關係
人議合
員工
專家學者
政府機構
營運地區
居民
 ▼ 每月工安..."
指標3_資源循環效益比較,recycled vs virgin environmental impact,未提及,percentage,1.00,"第29頁, 第72頁, 第160頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
29
空氣污染物管理
財務衝擊 ( 註 1 )
中低
上游 營運 下游
研發與改..."
指標4_產品延長壽命,產品壽命,是,boolean_or_number,0.80,"第63頁, 第169頁, 第164頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
63
 客戶意見反應及處理
為及時解決客戶疑問與需求，本公司於官網設置留言系統，..."
指標4_產品延長壽命,延長使用年限,是,boolean_or_number,0.80,"第8頁, 第144頁, 第36頁","用
，預計 2024 年取得經濟部 產業發展署個案再利用許可，每月約可
減少 2,000 噸廢棄物，將其改為再利用，以降低對環境之衝擊
5. 推動廢水源頭減量  持續推動廢水源頭減量共 28 案，截至..."
指標4_產品延長壽命,可維修設計,未提及,boolean_or_number,1.00,"第164頁, 第85頁, 第63頁","事故率 (TRIR) 與致 死率
(Fatality Rate) (單位： %)
工傷事故率 0 0 0
致死率 0 0 0
RT-CH-320a.2 說明評估、監測和減少員工與約聘人員
暴露於長時間..."
指標4_產品延長壽命,模組化設計,是,boolean_or_number,0.80,"第56頁, 第13頁, 第46頁","生物處理模組，分解乳化粉製程廢水中較難
分解的物質，達到廢水再利用的目的
2. 目前此技術已在麥寮塑膠廠進行實廠應用 ，
處理後的廢水已達回收供冷卻水塔再使用之
標準( 例如：COD < 30 ppm..."
指標4_產品延長壽命,耐用性提升,是,boolean_or_number,0.80,"第55頁, 第144頁, 第84頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
55
高壓阻燃 EVA 電纜料開發
高流動性 PE 纖維料開發
新型活性碳循環 ..."
指標4_產品延長壽命,維修服務年限,未提及,boolean_or_number,0.95,"第132頁, 第144頁, 第141頁","員工參與比例 19.2% 80.8%
請領條件
一、申請退休：
 ■ 工作十五年以上年滿五十五歲者
 ■ 工作二十五年以上者
 ■ 工作十年以上年滿六十歲者
二、命令退休：
 ■ 年滿六十五歲者
 ■..."
指標4_產品延長壽命,延長保固,未提及,boolean_or_number,1.00,"第136頁, 第172頁, 第3頁","台灣塑膠工業股份有限公司
2023 永續報告書
136
 安全衛生績效指標
為監督與評估本公司安全衛生工作之績效表
現，各單位每半年應提交 7 項安全衛生管理績
效指標的執行情形報告，以評估全公司整體..."
指標4_產品延長壽命,product lifespan,未提及,boolean_or_number,1.00,"第164頁, 第93頁, 第87頁","事故率 (TRIR) 與致 死率
(Fatality Rate) (單位： %)
工傷事故率 0 0 0
致死率 0 0 0
RT-CH-320a.2 說明評估、監測和減少員工與約聘人員
暴露於長時間..."
指標4_產品延長壽命,durability,是,boolean_or_number,0.80,"第122頁, 第87頁, 第62頁","活力，多進用 30 歲以下之年齡層員工 ( 約占新進人員 85.9%)，以活化組織
新血，穩固企業經營基礎，有利於公司長遠發展，並做為永續發展之後盾
本公司新進人員共計 135
人，其中 30 歲以下..."
指標4_產品延長壽命,modular design,未提及,boolean_or_number,1.00,"第13頁, 第59頁, 第87頁","非夏月停用一部燃煤機組
仁武導入 AI 智慧電廠平台
JP-4/5 高壓給水加熱器投入運轉
林園導入 AI 智慧電廠平台
仁武增設第一部低壓燃氣鍋爐
林園增設第一部低壓燃氣鍋爐
LP-2 燃煤鍋爐煤氣..."
指標4_產品延長壽命,repairability,否,boolean_or_number,0.80,"第141頁, 第145頁, 第25頁","( 註 1 )
0.08 0 0 0 0 0
失能傷害嚴重率
( 註 2 )
496 3 4 1 1 15
失能傷害頻率
( 註3 )
0.33 0.25 0.18 0.35 0.17 0.09
可記..."
指標4_產品延長壽命,upgradeable,是,boolean_or_number,0.90,"第27頁, 第85頁, 第144頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
27
誠信經營
財務衝擊 ( 註 1 )
-
上游 營運 下游
研發與改善 原物..."
指標4_產品延長壽命,extension service life,未提及,boolean_or_number,1.00,"第46頁, 第1頁, 第31頁","數位
轉型
數位
轉型組
永續推動工作落實於各項業務時，透過各機能組召開相關會議討論與決策過程，將永續意識納入經營策略與
作業思維，並於永續發展委員會報告各項工作執行情形與進度，具體實踐政策承諾，並配..."
指標5_單位經濟效益,每公斤成本,未提及,number,1.00,"第66頁, 第95頁, 第167頁","透過內部碳定價機制，具體將碳成本納入各廠損益，
以落實減碳目標
 ▼ 企業內部碳定價為 100 元 / 噸 CO2e
 ▼ 每月檢討各廠溫室氣體排放量及節能
減碳目標達成績效，各廠皆達成目標
重大主題..."
指標5_單位經濟效益,每單位碳排放,100,number,0.95,"第92頁, 第162頁, 第66頁","台灣塑膠工業股份有限公司
2023 永續報告書
92
子公司 2022 年溫室氣體排放量彙總表
單位：噸 CO2e
年度 台塑工業美國公司
( 註 1 )
台塑工業 ( 寧波 ) 公司
( 註 2 )..."
指標5_單位經濟效益,每單位效益,"493,480千元",number,0.80,"第164頁, 第167頁, 第44頁","事故率 (TRIR) 與致 死率
(Fatality Rate) (單位： %)
工傷事故率 0 0 0
致死率 0 0 0
RT-CH-320a.2 說明評估、監測和減少員工與約聘人員
暴露於長時間..."
指標5_單位經濟效益,再生塑膠性價比,"2025年循環經濟產品營收增加6,000 千元/ 年；新開發PP再生料將用於PCR編織袋，預估2025年產銷量1,620噸/年；2023年抗菌殼粉產品銷售量8.8噸，獲利1,234千元",number,0.90,"第144頁, 第169頁, 第86頁","台灣塑膠工業股份有限公司
2023 永續報告書
144
 供應商及承攬商評核與分級管理
本公司針對材料供應商進行評鑑及分級，並視需要進行廠商評核，以確保往來廠商能符合本公司履行永續責
任之要求。202..."
指標5_單位經濟效益,循環效益與成本比,未提及,number,1.00,"第86頁, 第77頁, 第66頁","台灣塑膠工業股份有限公司
2023 永續報告書
86
循環經濟 機會 / 產品與服務 中度機會9.
現況之風險或機會分析 ( 可能對公司之影響 )
因應策略及目標
案 例
考量產品生命週期及價值鏈，2..."
指標5_單位經濟效益,unit economic benefit,未提及,number,1.00,"第44頁, 第33頁, 第27頁","台塑公司經理人考核績效指標
財務類 非財務類
經營損益/EBITDA ( 未
計利息
、稅項、折舊
及攤銷前的利潤 )
營運目標達成率
營運成長率
利潤貢獻度
環境永續參與度
節水節能績效
循環經濟效..."
指標5_單位經濟效益,cost per kg,未提及,number,1.00,"第167頁, 第77頁, 第125頁","產品單位用電 / 汽量 ( 主要產品總用
電 / 汽量 ÷主要產品產量 ) 需較前
一年平均值減少 5%
使用再生物料政策 質化敘述
PP 扁紗級回收料膠粒 (RP1040) 添
加 30% 消費後再..."
指標5_單位經濟效益,CO2 per unit,未提及,number,1.00,"第66頁, 第162頁, 第171頁","透過內部碳定價機制，具體將碳成本納入各廠損益，
以落實減碳目標
 ▼ 企業內部碳定價為 100 元 / 噸 CO2e
 ▼ 每月檢討各廠溫室氣體排放量及節能
減碳目標達成績效，各廠皆達成目標
重大主題..."
指標5_單位經濟效益,ROI of recycling,未提及,number,1.00,"第101頁, 第29頁, 第163頁","段推行狀況如下：
源頭減量
執行方式 2023 年成效
加強製程廢水排放之源頭管制，如：
製程改善，減少用水量、減少異常大
流量或高濃度廢水流入廢水處理設
施、廢水降階再利用等措施，減輕末
端廢水產出..."
指標5_單位經濟效益,lifecycle cost benefit,未提及,number,1.00,"第55頁, 第77頁, 第61頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
55
高壓阻燃 EVA 電纜料開發
高流動性 PE 纖維料開發
新型活性碳循環 ..."
指標5_單位經濟效益,economic efficiency of recycling,"2025年循環經濟產品營收增加6,000 千元/ 年；2025 年產銷量1,620 噸 / 年；2023 年抗菌殼粉產品銷售量8.8 噸，獲利 1,234 千元；預計每年約可減少100 噸掩埋量；預計每年可減少24,000 噸掩埋量",number,0.80,"第86頁, 第109頁, 第167頁","台灣塑膠工業股份有限公司
2023 永續報告書
86
循環經濟 機會 / 產品與服務 中度機會9.
現況之風險或機會分析 ( 可能對公司之影響 )
因應策略及目標
案 例
考量產品生命週期及價值鏈，2..."
指標5_單位經濟效益,lifecycle unit cost,未提及,number,1.00,"第55頁, 第66頁, 第77頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
55
高壓阻燃 EVA 電纜料開發
高流動性 PE 纖維料開發
新型活性碳循環 ..."
指標5_單位經濟效益,unit GHG,未提及,number,1.00,"第162頁, 第161頁, 第118頁","SOx 845 693 527
揮發性有機化合物 (VOCs) 389 377 399
有害空氣污染物 (HAPs) 44 48 90
揭露主題 能源管理  Energy Management
指標代..."
指標5_單位經濟效益,recycled vs virgin unit value,未提及,number,1.00,"第163頁, 第168頁, 第86頁","指標代號 揭露指標
對照揭露
章節對照
2021 2022 2023
RT-CH-150a.1
有害廢棄物的產生總量 ( 單位：公噸 ) 2,928 3,251 2,988 3.5.2 
廢棄物管理
..."
指標6_循環再製次數,循環次數,未提及,number,1.00,"第70頁, 第163頁, 第8頁","短期目標 ( 1-3 年 )、中長期目標 ( 3 年以上 )
短期目標 ( 1-3 年 )、中長期目標 ( 3 年以上 )
維持 CDP - 水安全問卷成績「A- 」級以上
持續舉辦發表會，宣導永續政..."
指標6_循環再製次數,再利用次數,2000,number,0.95,"第8頁, 第75頁, 第107頁","用
，預計 2024 年取得經濟部 產業發展署個案再利用許可，每月約可
減少 2,000 噸廢棄物，將其改為再利用，以降低對環境之衝擊
5. 推動廢水源頭減量  持續推動廢水源頭減量共 28 案，截至..."
指標6_循環再製次數,再生次數,0,number,1.00,"第127頁, 第169頁, 第8頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
127
台塑公司近 3 年育嬰留職停薪申請及復職率統計表
項目
2021 202..."
指標6_循環再製次數,可再製次數,"100 噸/年, 2000 噸/月, 160.5 噸",number,0.80,"第107頁, 第8頁, 第167頁","化原物料，就會產生多餘廢棄物
自身廢棄物若增量或品質異常，導
致處理或再利用業者無法處理或再
利用，嚴重時可能需減 ( 停 ) 產，
以減少 ( 或停止 ) 廢棄物產出
製程操作異常時，將會出現品質異..."
指標6_循環再製次數,再加工循環,"1620 噸/年, 8.8 噸, 1234 千元, 5 噸/月, 26 噸/日, 100 噸/年, 6000 千元/年",number,0.95,"第86頁, 第101頁, 第107頁","台灣塑膠工業股份有限公司
2023 永續報告書
86
循環經濟 機會 / 產品與服務 中度機會9.
現況之風險或機會分析 ( 可能對公司之影響 )
因應策略及目標
案 例
考量產品生命週期及價值鏈，2..."
指標6_循環再製次數,材料耐久,未提及,number,1.00,"第144頁, 第55頁, 第169頁","台灣塑膠工業股份有限公司
2023 永續報告書
144
 供應商及承攬商評核與分級管理
本公司針對材料供應商進行評鑑及分級，並視需要進行廠商評核，以確保往來廠商能符合本公司履行永續責
任之要求。202..."
指標6_循環再製次數,回收次數,"193,314 噸",number,0.95,"第107頁, 第169頁, 第108頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
107
3.5 廢棄物管理   
3.5.1 廢棄物衝擊鑑別   306
本公司..."
指標6_循環再製次數,recycling cycles,2000,number,0.90,"第55頁, 第8頁, 第163頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
55
高壓阻燃 EVA 電纜料開發
高流動性 PE 纖維料開發
新型活性碳循環 ..."
指標6_循環再製次數,number of reuse times,未提及,number,1.00,"第120頁, 第169頁, 第163頁","兼職員工人數
( 註4 )
0 0 0 0 0 0 0 0 0 0 0 0 0 0
無時數保證的員工
( 註 5 )
0 0 0 0 0 0 0 0 0 0 0 0 0 0
註 1：  永久聘僱員工：..."
指標6_循環再製次數,remanufacturing times,未提及,number,1.00,"第36頁, 第2頁, 第23頁","果，並增修訂相關管理制度 (E)
 ▼ 每年舉辦勞工法規與權益保障相關教育訓練 (S)
密切注意相關法規修訂情形與進度，並積極參與公聽會，或透過各產業公會提出修法
建議
 ▼ 透過不定期執行產學合作計..."
指標6_循環再製次數,recycled loops,未提及,number,1.00,"第75頁, 第107頁, 第168頁","行絕對減量工程
促進廢棄物再利
用，減少廢棄物
掩埋量
致力推動廢棄物再利用，減少廢棄物掩
埋量，廢棄物掩埋量較基準年 (2020 年 )
的減量目標：
8,698 公噸
 ■ 2023 年廢棄物掩埋..."
指標6_循環再製次數,recycled material durability,"100 噸/年, 24,000 噸/年",number,0.90,"第109頁, 第107頁, 第55頁","創新永續未來的
塑造者1
繁榮經濟的
促進者2
永續環境的
打造者3
幸福職場的
守護者4
共享發展的
創造者5
附錄
109
3.5.3 廢棄物資源化再利用
本公司持續推動將廢棄物再利用，藉由輔導下..."
指標6_循環再製次數,durability of recycled material,未提及,number,1.00,"第107頁, 第109頁, 第55頁","化原物料，就會產生多餘廢棄物
自身廢棄物若增量或品質異常，導
致處理或再利用業者無法處理或再
利用，嚴重時可能需減 ( 停 ) 產，
以減少 ( 或停止 ) 廢棄物產出
製程操作異常時，將會出現品質異..."
指標6_循環再製次數,material degradation,未提及,number,1.00,"第107頁, 第144頁, 第87頁","化原物料，就會產生多餘廢棄物
自身廢棄物若增量或品質異常，導
致處理或再利用業者無法處理或再
利用，嚴重時可能需減 ( 停 ) 產，
以減少 ( 或停止 ) 廢棄物產出
製程操作異常時，將會出現品質異..."
